===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-06 17:30:45
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
120.198.95.220:9901       | 有效频道:2 | 平均:  3.3 Mbps
113.241.133.180:85        | 有效频道:2 | 平均: 3.36 Mbps
183.223.157.33:85         | 有效频道:2 | 平均: 1.66 Mbps
183.11.239.36:808         | 有效频道:2 | 平均: 0.14 Mbps
219.144.157.62:9901       | 有效频道:1 | 平均: 0.02 Mbps
121.19.134.146:808        | 有效频道:2 | 平均: 0.34 Mbps
223.72.123.44:85          | 有效频道:2 | 平均: 6.92 Mbps
221.205.21.126:9003       | 有效频道:2 | 平均: 3.85 Mbps
182.91.124.61:8801        | 有效频道:2 | 平均: 2.62 Mbps
180.165.12.42:50001       | 有效频道:2 | 平均: 0.22 Mbps
60.26.16.53:85            | 有效频道:2 | 平均: 2.67 Mbps
171.43.64.177:9901        | 有效频道:1 | 平均: 2.98 Mbps
171.120.251.9:9003        | 有效频道:2 | 平均:  8.4 Mbps
1.194.245.166:9003        | 有效频道:2 | 平均: 4.44 Mbps
124.116.183.146:9901      | 有效频道:2 | 平均: 0.89 Mbps
122.224.58.42:85          | 有效频道:2 | 平均: 2.36 Mbps
116.77.33.98:44330        | 有效频道:2 | 平均: 1.54 Mbps
222.214.208.34:59901      | 有效频道:2 | 平均: 7.92 Mbps
115.48.162.174:9901       | 有效频道:2 | 平均: 4.33 Mbps
101.66.195.146:9901       | 有效频道:2 | 平均: 2.85 Mbps
101.66.195.172:9901       | 有效频道:2 | 平均:  3.6 Mbps
101.66.195.177:9901       | 有效频道:2 | 平均:  3.8 Mbps
219.137.202.245:9901      | 有效频道:2 | 平均: 1.48 Mbps
223.14.160.57:9901        | 有效频道:2 | 平均: 4.51 Mbps
175.10.18.229:9999        | 有效频道:2 | 平均: 6.51 Mbps
182.114.49.142:9901       | 有效频道:2 | 平均: 7.78 Mbps
125.42.149.111:9901       | 有效频道:2 | 平均: 2.01 Mbps
